Komoditas (Rp);date_raw;price_raw;date;price;price_num
Beras Kualitas Medium I;27/02/2024;15,3;27/02/2024;15,3;15.3
Beras Kualitas Medium II;27/02/2024;16,3;27/02/2024;16,3;16.3
Beras Kualitas Super I;27/02/2024;16,6;27/02/2024;16,6;16.6
Beras Kualitas Super II;27/02/2024;16,4;27/02/2024;16,4;16.4
Beras Kualitas Super I;28/02/2024;16,6;28/02/2024;16,6;16.6
Beras Kualitas Super II;28/02/2024;16,4;28/02/2024;16,4;16.4
Beras Kualitas Medium II;28/02/2024;16,3;28/02/2024;16,3;16.3
Beras Kualitas Bawah I;28/02/2024;15,2;28/02/2024;15,2;15.2
Beras Kualitas Bawah II;28/02/2024;15,4;28/02/2024;15,4;15.4
Beras Kualitas Medium I;28/02/2024;15,3;28/02/2024;15,3;15.3
Beras;28/02/2024;15,85;28/02/2024;15,85;15.85
Beras Kualitas Super II;29/02/2024;16,4;29/02/2024;16,4;16.4
Beras Kualitas Medium II;29/02/2024;16,3;29/02/2024;16,3;16.3
Beras Kualitas Medium I;29/02/2024;15,3;29/02/2024;15,3;15.3
Beras Kualitas Super I;29/02/2024;16,6;29/02/2024;16,6;16.6
Beras Kualitas Bawah I;29/02/2024;15,2;29/02/2024;15,2;15.2
Beras;29/02/2024;15,85;29/02/2024;15,85;15.85
Beras Kualitas Bawah II;29/02/2024;15,4;29/02/2024;15,4;15.4
Beras Kualitas Super I;03/01/2024;15,4;01/03/2024;15,4;15.4
Beras Kualitas Bawah I;03/01/2024;13,5;01/03/2024;13,5;13.5
Beras Kualitas Bawah II;03/01/2024;13,2;01/03/2024;13,2;13.2
Beras Kualitas Medium I;03/01/2024;13,5;01/03/2024;13,5;13.5
Beras Kualitas Medium II;03/01/2024;14,2;01/03/2024;14,2;14.2
Beras;03/01/2024;14,1;01/03/2024;14,1;14.1
Beras Kualitas Super II;03/01/2024;14,8;01/03/2024;14,8;14.8
Beras Kualitas Bawah I;03/04/2024;14,7;04/03/2024;14,7;14.7
Beras;03/04/2024;15,65;04/03/2024;15,65;15.65
